,index,heart_rate,anomaly
392,2020-01-02 08:40:00,50.69381746810599,1
393,2020-01-02 08:45:00,50.72816486751717,1
394,2020-01-02 08:50:00,50.76251226692837,1
395,2020-01-02 08:55:00,50.79685966633955,1
396,2020-01-02 09:00:00,50.83120706575074,1
397,2020-01-02 09:05:00,50.86555446516193,1
398,2020-01-02 09:10:00,50.89990186457312,1
399,2020-01-02 09:15:00,50.9342492639843,1
400,2020-01-02 09:20:00,50.96859666339549,1
401,2020-01-02 09:25:00,51.00294406280668,1
402,2020-01-02 09:30:00,51.03729146221786,1
403,2020-01-02 09:35:00,51.07163886162905,1
404,2020-01-02 09:40:00,51.10598626104024,1
405,2020-01-02 09:45:00,51.14033366045143,1
406,2020-01-02 09:50:00,51.17468105986261,1
407,2020-01-02 09:55:00,51.2090284592738,1
408,2020-01-02 10:00:00,51.243375858684985,1
409,2020-01-02 10:05:00,51.277723258096174,1
410,2020-01-02 10:10:00,51.31207065750736,1
411,2020-01-02 10:15:00,51.34641805691855,1
412,2020-01-02 10:20:00,51.38076545632973,1
413,2020-01-02 10:25:00,51.41511285574093,1
414,2020-01-02 10:30:00,51.44946025515211,1
415,2020-01-02 10:35:00,51.48380765456329,1
416,2020-01-02 10:40:00,51.51815505397449,1
417,2020-01-02 10:45:00,51.55250245338567,1
418,2020-01-02 10:50:00,51.58684985279685,1
419,2020-01-02 10:55:00,51.62119725220805,1
420,2020-01-02 11:00:00,51.65554465161923,1
421,2020-01-02 11:05:00,51.68989205103041,1
422,2020-01-02 11:10:00,51.72423945044161,1
423,2020-01-02 11:15:00,51.75858684985279,1
424,2020-01-02 11:20:00,51.79293424926399,1
425,2020-01-02 11:25:00,51.82728164867517,1
426,2020-01-02 11:30:00,51.86162904808636,1
427,2020-01-02 11:35:00,51.895976447497546,1
428,2020-01-02 11:40:00,51.930323846908735,1
429,2020-01-02 11:45:00,51.96467124631992,1
430,2020-01-02 11:50:00,51.99901864573111,1
